"text","retweet_count","favorite_count","Followers","Follower_Change","Num_Tweets","Year","Month","Week","Day","Hour"
"Judge Kavanaugh showed America exactly why I nominated him. His testimony was powerful honest and riveting. DemocratsÕ search and destroy strategy is disgraceful and this process has been a total sham and effort to delay obstruct and resist. The Senate must vote!",85502,320158,54672474,21128,12,2018,9,39,27,22
"https://t.co/9o5gZlJiTd",17391,77145,54651346,20751,13,2018,9,39,26,23
"Join me this Saturday in Wheeling West Virginia at 7pmE! Tickets: https://t.co/JyRaBps0eR https://t.co/hiruLIxa7w",14484,52957,54651346,20751,13,2018,9,39,26,20
"Congressman Lee Zeldin is doing a fantastic job in D.C. Tough and smart he loves our Country and will always be there to do the right thing. He has my Complete and Total Endorsement!",14949,65494,54651346,20751,13,2018,9,39,26,17
"China is actually placing propaganda ads in the Des Moines Register and other papers made to look like news. ThatÕs because we are beating them on Trade opening markets and the farmers will make a fortune when this is over! https://t.co/ppdvTX7oz1",19236,58671,54651346,20751,13,2018,9,39,26,17
"Avenatti is a third rate lawyer who is good at making false accusations like he did on me and like he is now doing on Judge Brett Kavanaugh. He is just looking for attention and doesnÕt want people to look at his past record and relationships - a total low-life!",35436,138914,54651346,20751,13,2018,9,39,26,16
"Jobless Claims fell to their lowest level in 49 years!",20804,95802,54651346,20751,13,2018,9,39,26,10
"Consumer confidence hits an 18 year high close to breaking the all-time record. A big jump from last 8 years. People are excited about the USA again! We are getting Bigger and Richer and Stronger. WAY MORE TO GO!",20718,91795,54651346,20751,13,2018,9,39,26,10
"The Democrats are playing a high level CON GAME in their vicious effort to destroy a fine person. It is called the politics of destruction. Behind the scene the Dems are laughing. Pray for Brett Kavanaugh and his family!",35352,128046,54651346,20751,13,2018,9,39,26,2
"ÒThese law enforcement people took the law into their own hands when it came to President Trump.Ó @LindseyGrahamSC",13625,56890,54651346,20751,13,2018,9,39,26,2
"73rd Session of the United Nations General Assembly #UNGA https://t.co/xJyx7RrH5F",12515,52854,54630595,17609,12,2018,9,39,25,22
"ÒConsumer confidence rose in September notching its highest level in about 18 years. The Consumer Board's index rose to 138.4 this month from 134.7 in August...Ó https://t.co/ZbxjnrRvAX",13602,55129,54630595,17609,12,2018,9,39,25,20
"ÒRemarks by President Trump at a Luncheon Hosted by the Secretary-General of the United NationsÓ https://t.co/ShHaLmoSDL https://t.co/k62KGgD8j6",9905,41237,54630595,17609,12,2018,9,39,25,19
"ÒRemarks by President Trump to the 73rd Session of the United Nations General AssemblyÓ __https://t.co/Oshhko61zY https://t.co/Fm8LSse417",9721,40707,54630595,17609,12,2018,9,39,25,17
"Rush Limbaugh to Republicans: ÒYou can kiss the MIDTERMS goodbye if you donÕt get highly qualified Kavanaugh approved.Ó",27530,97276,54630595,17609,12,2018,9,39,25,16
"Thank you Dr. Jeffress! https://t.co/cm7NjQh0ti",14398,58077,54630595,17609,12,2018,9,39,25,16
"Thank you Mark! https://t.co/NVGs6WbQe2",15800,72174,54630595,17609,12,2018,9,39,25,16
"https://t.co/h43dehf0WV",13611,45414,54630595,17609,12,2018,9,39,25,15
"Will be speaking at the United Nations this morning. Our country is much stronger and much richer than it was when I took office less than two years ago. We are also MUCH safer!",16399,86379,54630595,17609,12,2018,9,39,25,13
"Despite requests I have no plans to meet Iranian President Hassan Rouhani. Maybe someday in the future. I am sure he is an absolutely lovely man!",15858,81525,54630595,17609,12,2018,9,39,25,10
"Republican Party Favorability is the highest it has been in 7 years - 3 points higher than Democrats!  Gallup",17231,77692,54630595,17609,12,2018,9,39,25,10
"The Democrats are working hard to destroy a wonderful man and a man who has the potential to be one of our greatest Supreme Court Justices ever with an array of False Accusations the likes of which have never been seen before!",31002,116267,54630595,17609,12,2018,9,39,25,2
"REMEMBER THE MIDTERMS!",30262,109822,54630595,17609,12,2018,9,39,25,2
"https://t.co/FXqSWusSTV",12129,51240,54630595,17609,12,2018,9,39,25,0
"It was my great honor to welcome President @EmmanuelMacron of France to the United States here in New York City this evening! #UNGA https://t.co/Gd7pCBFUCg",7823,39123,54612986,17292,3,2018,9,39,24,23
"It was my great honor to welcome President @AlsisiOfficial of Egypt to the United States this afternoon in New York City. Great meetings! #UNGA https://t.co/dsMZWodpWr",8000,36681,54612986,17292,3,2018,9,39,24,22
"Joint Statement on the United States-Korea Free Trade Agreement: https://t.co/m0jW8nqdQW https://t.co/lcrhsJtv00",8842,37658,54612986,17292,3,2018,9,39,24,21
"Brett Kavanaugh and his wife Ashley will be interviewed tonight at 7pmE on @marthamaccallum @FoxNews. This is an outstanding family who must be treated fairly!",19608,87822,54612986,17292,3,2018,9,39,24,21
"US-Korea Free Trade Agreement Signing Ceremony! https://t.co/yLFkAZgagG",14068,54195,54612986,17292,3,2018,9,39,24,20
"It was my great honor to welcome and meet with President @moonriver365 Jae-in of South Korea today in New York City! https://t.co/7f3eOYGxDn #UNGA https://t.co/B6rVeeBTCc",9072,36651,54612986,17292,3,2018,9,39,24,20
